Annotation_id,Annotator,Created_at,ID,Lead_time,Sentiment,Text,Updated_at
,,,,,,,
11,1,2025-06-27T05:42:37.385903Z,11,5.313,Positive,I absolutely loved this product!,2025-06-27T05:42:37.385926Z
,,,,,,,
12,1,2025-06-27T05:42:40.933969Z,12,3.131,Negative,Terrible experience. Will not buy again.,2025-06-27T05:42:40.933985Z
,,,,,,,
13,1,2025-06-27T05:42:47.426818Z,13,5.827,Neutral,"It was okay, nothing special.",2025-06-27T05:42:47.426888Z
,,,,,,,
14,1,2025-06-27T05:42:51.332912Z,14,3.506,Positive,Fantastic quality and quick delivery.,2025-06-27T05:42:51.332935Z
,,,,,,,
15,1,2025-06-27T05:42:54.798790Z,15,3.124,Negative,Worst service I’ve ever received.,2025-06-27T05:42:54.798813Z
,,,,,,,
16,1,2025-06-27T05:42:59.594385Z,16,4.143,Neutral,Neutral about the features provided.,2025-06-27T05:42:59.594402Z
,,,,,,,
17,1,2025-06-27T05:43:03.400381Z,17,3.384,Positive,Exceeded all my expectations!,2025-06-27T05:43:03.400396Z
,,,,,,,
18,1,2025-06-27T05:43:06.488041Z,18,2.74,Negative,The packaging was damaged.,2025-06-27T05:43:06.488076Z
,,,,,,,
19,1,2025-06-27T05:43:11.167935Z,19,4.345,Neutral,Pretty decent for the price.,2025-06-27T05:43:11.167959Z
,,,,,,,
20,1,2025-06-27T05:43:14.016148Z,20,2.52,Negative,I hate the new design.,2025-06-27T05:43:14.016181Z
,,,,,,,
21,1,2025-06-27T05:43:18.231757Z,21,3.559,Neutral,I'm not sure how I feel about this yet.,2025-06-27T05:43:18.231782Z
,,,,,,,
22,1,2025-06-27T05:43:20.982318Z,22,2.39,Positive,Delivery was super fast!,2025-06-27T05:43:20.982333Z
,,,,,,,
23,1,2025-06-27T05:43:25.008577Z,23,3.664,Negative,I would not  recommend this to anyone.,2025-06-27T05:43:25.008590Z
,,,,,,,
24,1,2025-06-27T05:43:28.273606Z,24,2.929,Positive,Totally worth the money.,2025-06-27T05:43:28.273620Z
,,,,,,,
